239;Ignition
240;Movement
22;Data Mode
21;GSM Signal
200;Sleep Mode
71;GNSS Status
181;GNSS PDOP
182;GNSS HDOP
66;External Voltage
24;Speed
205;GSM Cell ID
206;GSM Area Code
67;Battery Voltage
68;Battery Current
241;Active GSM Operator
199;Trip Odometer
216;Total Odometer
1;Digital Input 1
9;Analog Input 1
179;Digital Output 1
236;Axis X
237;Axis Y
238;Axis Z
219;CCID Part1
220;CCID Part2
221;CCID Part3
144;SD Status
2;Digital Input 2
3;Digital Input 3
10;Analog Input 2
180;Digital Output 2
72;Dallas Temperature 1
73;Dallas Temperature 2
74;Dallas Temperature 3
75;Dallas Temperature 4
62;Dallas Temperature ID 1
63;Dallas Temperature ID 2
64;Dallas Temperature ID 3
65;Dallas Temperature ID 4
78;iButton
76;Fuel Counter
10640;Impulse counter frequency 1
10641;Impulse counter RPM 1
483;Impulse Counter 2
10642;Impulse counter frequency 2
10643;Impulse counter RPM 2
10911;Impulse counter value 1
10912;Impulse counter value 3
10913;Impulse counter frequency 3
10914;Impulse counter RPM 3
10915;Impulse counter value 4
10916;Impulse counter frequency 4
10917;Impulse counter RPM 4
207;RFID
201;LLS 1 Fuel Level
202;LLS 1 Temperature
203;LLS 2 Fuel Level
204;LLS 2 Temperature
210;LLS 3 Fuel Level
211;LLS 3 Temperature
212;LLS 4 Fuel Level
213;LLS 4 Temperature
214;LLS 5 Fuel Level
215;LLS 5 Temperature
178;Network Type
108;Number Of Records
4;Digital Input 4
50;Digital Output 3
51;Digital Output 4
11;Analog Input 3
245;Analog Input 4
70;PCB Temperature
5;Dallas Temperature ID 5
6;Dallas Temperature 5
7;Dallas Temperature ID 6
8;Dallas Temperature 6
217;RFID COM2
218;IMSI
224;Ultrasonic Fuel Level 1
225;Ultrasonic Fuel Level 2
208;Ultrasonic Software Status 1
209;Ultrasonic Software Status 2
10009;Eco score
10487;1Wire Humidity 1
10488;1Wire Humidity 2
10489;1Wire Humidity 3
10490;1Wire Humidity 4
10491;1Wire Humidity 5
10492;1Wire Humidity 6
449;Ignition On Counter
1161;IMEI
13200;No SIM Counter
1148;Connectivity Quality
79;Brake Switch
80;Wheel Based Speed
81;Cruise Control Active
82;Clutch Switch
83;PTO State
84;Acceleration Pedal Position
85;Engine Current Load
86;Engine Total Fuel Used
87;Fuel Level
88;Engine Speed
89;Axle weight 1
90;Axle weight 2
91;Axle weight 3
92;Axle weight 4
93;Axle weight 5
94;Axle weight 6
95;Axle weight 7
96;Axle weight 8
97;Axle weight 9
98;Axle weight 10
99;Axle weight 11
100;Axle weight 12
101;Axle weight 13
102;Axle weight 14
103;Axle weight 15
104;Engine Total Hours Of Operation
109;Software Version Supported
110;Diagnostics Supported
111;Requests Supported
113;Service Distance
122;Direction Indication
123;Tachograph Performance
124;Handling Info
125;System Event
127;Engine Coolant Temperature
128;Ambient Air Temperature
135;Fuel Rate
136;Instantaneous Fuel Economy
137;PTO Drive Engagement
138;High Resolution Engine Total Fuel Used
139;Gross Combination Vehicle Weight
229;AdBlue status
357;Brake Pedal Position
10348;Fuel level 2
10349;MIL indicator
10428;Tell Tale 0
10429;Tell Tale 1
10430;Tell Tale 2
10431;Tell Tale 3
13259;Tell Tale 4
10455;AdBlue level
10493;DTC DM1
10494;DTC DM1 List
10495;DTC DM2
10496;DTC DM2 List
12;Program Number
13;Module ID
14;Engine Worktime
15;Engine Worktime (Counted)
16;Total Mileage (Counted)
17;Fuel Consumed (counted)
18;Fuel Rate
19;AdBlue Level Percent
20;AdBlue Level Liters
23;Engine Load
25;Engine Temperature
26;Axle 1 Load
27;Axle 2 Load
28;Axle 3 Load
29;Axle 4 Load
30;Vehicle Speed
31;Accelerator Pedal Position
32;Axle 5 Load
33;Fuel Consumed
34;Fuel Level Liters
35;Engine RPM
36;Total Mileage
37;Fuel Level Percent
38;Control State Flags
39;Agricultural Machinery Flags
40;Harvesting Time
41;Area of Harvest
42;Mowing Efficiency
43;Grain Mown Volume
44;Grain Moisture
